,PARTICIPANTS TABLE,,
RollNo,Name,Surname,Participant
1001,Aarav,Sharma,Yes
1002,Vivaan,Verma,Yes
1003,Aditya,Gupta,Yes
1004,Vihaan,Patel,Yes
1005,Arjun,Reddy,Yes
1006,Reyansh,Nair,Yes
1007,Muhammad,Iyer,Yes
1008,Sai,Khan,Yes
1009,Arnav,Singh,Yes
1010,Ayaan,Mehta,Yes
1011,Krishna,Joshi,Yes
1012,Ishaan,Das,Yes
1013,Shaurya,Bose,Yes
1014,Atharv,Jain,Yes
1015,Dhruv,Chopra,Yes
1016,Kabir,Malhotra,Yes
1017,Ritvik,Kapoor,Yes
1018,Rohan,Agarwal,Yes
1019,Kunal,Chaudhary,Yes
1020,Yash,Roy,Yes
1021,Ananya,Saxena,Yes
1022,Aadhya,Yadav,Yes
1023,Diya,Bhat,Yes
1024,Ira,Menon,Yes
1025,Myra,Pillai,Yes
1026,Saanvi,Ghosh,Yes
1027,Aarohi,Banerjee,Yes
1028,Ishita,Shetty,Yes
1029,Meera,Naidu,Yes
1030,Avni,Kulkarni,Yes
1031,Riya,Sharma,Yes
1032,Nisha,Verma,Yes
1033,Pooja,Gupta,Yes
1034,Neha,Patel,Yes
1035,Kavya,Reddy,Yes
1036,Tanvi,Nair,Yes
1037,Priya,Iyer,Yes
1038,Sneha,Khan,Yes
1039,Sakshi,Singh,Yes
1040,Tara,Mehta,Yes
1041,Rahul,Joshi,Yes
1042,Siddharth,Das,Yes
1043,Manish,Bose,Yes
1044,Nikhil,Jain,Yes
1045,Varun,Chopra,Yes
1046,Akash,Malhotra,Yes
1047,Pranav,Kapoor,Yes
1048,Harsh,Agarwal,Yes
1049,Gaurav,Chaudhary,Yes
1050,Anil,Roy,Yes
,,,
,WINNERS TABLE,,
Rank,RollNo,Name,Surname
1,1015,Dhruv,Chopra
2,1036,Tanvi,Nair
3,1047,Pranav,Kapoor
